0,1,2,3,4
72.0,65.0,8.0,8.0,31.0
48.0,24.0,9.0,11.0,46.0
15.0,63.0,10.0,8.0,43.0
60.0,69.0,9.0,13.0,33.0
41.0,57.0,12.0,9.0,37.0
22.0,37.0,8.0,11.0,59.0
53.0,44.0,9.0,9.0,87.0
17.0,50.0,10.0,9.0,47.0
55.0,19.0,8.0,9.0,79.0
85.0,36.0,9.0,10.0,40.0
32.0,50.0,9.0,11.0,62.0
74.0,47.0,9.0,10.0,26.0
77.0,93.0,9.0,10.0,74.0
49.0,32.0,8.0,10.0,29.0
18.0,30.0,12.0,10.0,50.0
42.0,31.0,10.0,8.0,35.0
26.0,87.0,10.0,10.0,48.0
39.0,53.0,9.0,9.0,46.0
71.0,43.0,10.0,9.0,26.0
38.0,54.0,10.0,10.0,16.0
44.0,42.0,9.0,8.0,35.0
54.0,51.0,11.0,11.0,23.0
29.0,90.0,11.0,9.0,83.0
43.0,53.0,10.0,10.0,18.0
39.0,32.0,11.0,8.0,16.0
22.0,76.0,9.0,10.0,41.0
91.0,34.0,9.0,13.0,56.0
16.0,60.0,12.0,9.0,43.0
28.0,38.0,9.0,12.0,65.0
37.0,63.0,8.0,11.0,31.0
85.0,22.0,9.0,10.0,24.0
40.0,46.0,12.0,8.0,33.0
16.0,54.0,10.0,10.0,42.0
44.0,24.0,11.0,9.0,37.0
43.0,72.0,10.0,10.0,59.0
27.0,48.0,9.0,10.0,72.0
66.0,47.0,8.0,8.0,49.0
40.0,40.0,12.0,10.0,36.0
48.0,88.0,9.0,9.0,37.0
45.0,44.0,10.0,10.0,24.0
40.0,23.0,9.0,9.0,26.0
116.0,62.0,9.0,9.0,34.0
50.0,56.0,8.0,13.0,36.0
72.0,78.0,9.0,10.0,37.0
44.0,23.0,8.0,9.0,27.0
48.0,95.0,10.0,13.0,47.0
48.0,62.0,10.0,11.0,23.0
109.0,80.0,9.0,12.0,21.0
30.0,43.0,10.0,8.0,29.0
41.0,35.0,9.0,8.0,39.0
42.0,36.0,9.0,9.0,39.0
70.0,31.0,10.0,9.0,19.0
57.0,37.0,13.0,11.0,65.0
31.0,57.0,9.0,14.0,30.0
31.0,29.0,9.0,9.0,51.0
64.0,54.0,10.0,12.0,42.0
64.0,34.0,9.0,9.0,44.0
122.0,47.0,8.0,10.0,18.0
153.0,75.0,9.0,9.0,25.0
48.0,31.0,9.0,9.0,46.0
37.0,27.0,9.0,12.0,39.0
57.0,45.0,8.0,11.0,57.0
60.0,76.0,8.0,10.0,31.0
55.0,41.0,9.0,9.0,47.0
82.0,60.0,10.0,9.0,92.0
101.0,59.0,9.0,10.0,37.0
52.0,29.0,12.0,10.0,22.0
85.0,29.0,9.0,9.0,62.0
34.0,47.0,16.0,9.0,52.0
38.0,46.0,11.0,9.0,57.0
50.0,39.0,11.0,10.0,40.0
62.0,74.0,11.0,9.0,29.0
37.0,93.0,10.0,10.0,41.0
57.0,45.0,10.0,8.0,37.0
34.0,62.0,11.0,10.0,19.0
57.0,82.0,9.0,10.0,37.0
71.0,161.0,8.0,9.0,29.0
59.0,89.0,10.0,9.0,34.0
47.0,36.0,9.0,9.0,56.0
64.0,63.0,11.0,12.0,44.0
39.0,48.0,11.0,9.0,55.0
65.0,49.0,11.0,9.0,38.0
45.0,66.0,13.0,8.0,28.0
76.0,46.0,12.0,10.0,32.0
48.0,67.0,9.0,11.0,43.0
45.0,17.0,9.0,10.0,56.0
44.0,48.0,11.0,8.0,27.0
43.0,43.0,10.0,8.0,69.0
43.0,30.0,8.0,9.0,77.0
52.0,58.0,10.0,10.0,25.0
85.0,53.0,11.0,10.0,47.0
52.0,45.0,8.0,10.0,61.0
62.0,48.0,9.0,9.0,39.0
73.0,140.0,10.0,16.0,35.0
46.0,65.0,13.0,13.0,63.0
36.0,90.0,10.0,10.0,85.0
47.0,19.0,10.0,8.0,76.0
41.0,34.0,11.0,11.0,40.0
25.0,58.0,15.0,13.0,49.0
26.0,40.0,10.0,10.0,36.0
49.0,74.0,10.0,12.0,68.0
64.0,149.0,9.0,9.0,40.0
23.0,97.0,10.0,9.0,50.0
65.0,97.0,9.0,11.0,107.0
46.0,98.0,9.0,10.0,32.0
52.0,67.0,11.0,10.0,24.0
124.0,55.0,9.0,9.0,47.0
48.0,74.0,9.0,10.0,36.0
83.0,43.0,13.0,9.0,26.0
26.0,72.0,13.0,9.0,49.0
28.0,80.0,10.0,9.0,109.0
38.0,69.0,8.0,11.0,77.0
34.0,74.0,11.0,11.0,51.0
61.0,68.0,9.0,11.0,30.0
33.0,64.0,9.0,9.0,40.0
33.0,34.0,10.0,9.0,36.0
45.0,41.0,9.0,9.0,62.0
40.0,40.0,8.0,10.0,34.0
55.0,53.0,8.0,9.0,16.0
94.0,52.0,9.0,10.0,15.0
36.0,57.0,9.0,9.0,52.0
51.0,37.0,10.0,8.0,99.0
56.0,91.0,10.0,10.0,33.0
53.0,92.0,10.0,10.0,65.0
60.0,44.0,9.0,9.0,28.0
58.0,37.0,9.0,8.0,43.0
41.0,108.0,8.0,12.0,61.0
65.0,86.0,8.0,12.0,36.0
48.0,103.0,10.0,10.0,61.0
49.0,87.0,10.0,9.0,29.0
45.0,40.0,9.0,8.0,51.0
94.0,60.0,9.0,10.0,35.0
62.0,69.0,9.0,10.0,65.0
25.0,44.0,8.0,9.0,50.0
39.0,39.0,8.0,10.0,21.0
99.0,29.0,10.0,9.0,82.0
72.0,120.0,10.0,8.0,44.0
21.0,47.0,10.0,12.0,77.0
46.0,36.0,10.0,10.0,100.0
71.0,69.0,9.0,9.0,46.0
76.0,32.0,10.0,10.0,49.0
101.0,34.0,14.0,10.0,74.0
43.0,21.0,11.0,9.0,94.0
43.0,109.0,9.0,11.0,67.0
94.0,46.0,11.0,10.0,31.0
16.0,61.0,11.0,11.0,38.0
110.0,28.0,9.0,10.0,58.0
22.0,39.0,11.0,8.0,41.0
36.0,77.0,9.0,8.0,38.0
64.0,49.0,9.0,9.0,51.0
94.0,70.0,9.0,8.0,43.0
80.0,50.0,10.0,10.0,31.0
35.0,67.0,9.0,11.0,38.0
81.0,32.0,12.0,8.0,276.0
82.0,94.0,9.0,9.0,23.0
40.0,116.0,9.0,11.0,59.0
60.0,45.0,11.0,10.0,46.0
63.0,71.0,10.0,9.0,44.0
44.0,46.0,9.0,9.0,53.0
17.0,41.0,12.0,9.0,83.0
61.0,63.0,10.0,15.0,30.0
70.0,33.0,10.0,9.0,24.0
41.0,97.0,9.0,10.0,41.0
37.0,32.0,10.0,9.0,25.0
50.0,49.0,13.0,12.0,49.0
47.0,61.0,9.0,8.0,62.0
67.0,108.0,10.0,8.0,64.0
44.0,51.0,9.0,10.0,25.0
28.0,115.0,9.0,10.0,69.0
128.0,60.0,10.0,8.0,62.0
28.0,94.0,9.0,9.0,58.0
61.0,90.0,10.0,11.0,42.0
31.0,42.0,10.0,10.0,33.0
52.0,44.0,10.0,9.0,49.0
33.0,33.0,9.0,9.0,36.0
83.0,69.0,10.0,9.0,55.0
37.0,32.0,11.0,10.0,48.0
37.0,59.0,10.0,10.0,24.0
81.0,45.0,9.0,9.0,53.0
99.0,86.0,13.0,11.0,35.0
63.0,50.0,8.0,9.0,53.0
50.0,65.0,8.0,9.0,62.0
57.0,78.0,10.0,9.0,57.0
70.0,22.0,10.0,10.0,60.0
71.0,41.0,8.0,9.0,26.0
41.0,71.0,11.0,10.0,33.0
56.0,44.0,10.0,10.0,27.0
73.0,56.0,11.0,9.0,33.0
70.0,102.0,8.0,10.0,43.0
80.0,31.0,9.0,9.0,71.0
46.0,58.0,9.0,10.0,45.0
49.0,82.0,10.0,9.0,51.0
57.0,100.0,8.0,9.0,26.0
42.0,81.0,10.0,10.0,43.0
